Company,Job Detail,Required Skills,City,HR Email
Tufropes,"['Role: IT & Information Security - Other', 'Industry Type: Petrochemical / Plastics / Rubber', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT & Information Security - Other', 'UG: B.Tech/B.E. in Computer Science Engineering, Information Technology, Computer Science, Computer Engineering, Computers']","['Cyber Security', 'Infrastructure Management', 'IT Strategy Planning', 'IT Operations', 'Network Infrastructure Management', 'Solution Architecting', 'Data Center Management', 'IT Security Management', 'IT Infrastructure', 'IT Budgeting']","Indore, Mumbai (All Areas)",careers@tufropes.com
Masai School,"['Role: Search Engineer', 'Industry Type: Education / Training', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Cloud computing', 'LMS', 'Networking', 'Linux', 'Infrastructure management', 'GCP', 'devops', 'Cloud', 'System administration', 'Teaching']",Remote,careers@masaischool.com
Einfochips,"['Role: Software Development - Other', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization']","['CRM', 'C#', 'JavaScript']","Indore, Pune, Ahmedabad",careers@einfochips.com
Serosoft Solutions,"['Role: Full Stack Developer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Maven', 'Hibernate', 'ERP', 'Software design', 'Coding', 'Enterprise applications', 'MySQL', 'Oracle', 'ExtJS']",Indore,careers@serosoftsolutions.com
Rarr Technologies,"['Role: Search Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Backend', 'GIT', 'orchestration', 'Production support', 'Integration testing', 'Selenium', 'Unit testing', 'Monitoring', 'Scripting', 'Python']",Remote,careers@rarrtechnologies.com
Learneo Com,"['Role: DevOps Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: DevOps', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'Automation', 'Linux', 'Networking', 'GCP', 'Analytical', 'Troubleshooting', 'Information technology', 'Distribution system', 'Python']",remote,careers@learneocom.com
Swastika Investmart,"['Role: Network (Support) Engineer', 'Industry Type: Financial Services (Broking)', 'Department: Engineering - Hardware & Networks', 'Employment Type: Full Time, Permanent', 'Role Category: IT Network', 'UG: Any Graduate']","['Jenkins', 'AWS']",Indore,careers@swastikainvestmart.com
Fiftyfive Technologies,"['Role: DevOps Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: DevOps', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'Automation', 'Networking', 'Linux', 'GCP', 'Configuration management', 'Shell scripting', 'Cloud', 'Infrastructure', 'Python']","Indore, Jaipur",careers@fiftyfivetechnologies.com
Victrix Systems And Labs,"['Role: Full Stack Developer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['.Net', 'C#', 'AngularJS', 'Azure', 'Javascript', 'SQL Server', 'ASP']",Indore,careers@victrixsystemsandlabs.com
emagine,"['Role: Release Manager', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: DevOps', 'UG: Any Graduate', 'PG: Any Postgraduate']","['continuous integration', 'cd', 'release management', 'software development', 'program management', 'coordination', 'software development life cycle', 'servicenow', 'git', 'stakeholder management', 'devops', 'scrum', 'communication skills', 'itil', 'jira']",Remote,careers@emagine.com
Exavalu,"['Role: QA Team Manager', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Automation', 'Data validation', 'Front end', 'Analytical', 'Performance testing', 'Agile', 'Scrum', 'Risk management', 'Monitoring', 'SDLC']",remote,careers@exavalu.com
Shj International,"['Role: Back End Developer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Information Technology, Computers']","['Spring Boot', 'Java', 'Hibernate', 'Problem Solving', 'Mariadb', 'Communication Skills', 'Backend', 'GIT', 'Docker', 'JPA']","Indore, Delhi / NCR, Mumbai (All Areas)",careers@shjinternational.com
Serigor,"['Role: System Administrator / Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Hardware & Networks', 'Employment Type: Full Time, Permanent', 'Role Category: IT Network', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Change management', 'Automation', 'LDAP', 'Access management', 'GCP', 'Powershell', 'Cloud', 'Active directory', 'microsoft', 'Python']",Remote,careers@serigor.com
Relq Technologies,"['Role: Test Architect', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['github', 'GIT', 'Data management', 'Test strategy', 'TDD', 'Analytical', 'Integration testing', 'Performance testing', 'Selenium', 'Test cases']",REMOTE,careers@relqtechnologies.com
Keeptruckin,"['Role: Site Reliability Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: DevOps', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'Architect', 'Automation', 'Backend', 'Incident management', 'Troubleshooting', 'Operations', 'Monitoring', 'Logistics', 'Python']",Remote,careers@keeptruckin.com
"Milestone Technologies, Inc","['Role: Site Reliability Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: DevOps', 'UG: Any Graduate', 'PG: LLM in Law']","['Performance tuning', 'Networking', 'Data management', 'Coding', 'JSON', 'Data quality', 'Distribution system', 'SQL', 'Python', 'Auditing']",Remote,"careers@milestonetechnologies,inc.com"
Nimesa Technology,"['Role: Enterprise & B2B Sales - Other', 'Industry Type: IT Services & Consulting', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: Enterprise & B2B Sales', 'UG: Any Graduate', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['Corporate Sales', 'Sales', 'IT Product Sales', 'B2B Sales', 'IT Sales']",Bhopal,careers@nimesatechnology.com
Tinvio Digital Services,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['Python', 'Django', 'Cloud']",Indore,careers@tinviodigitalservices.com
Stanra Tech Solutions,"['Role: Full Stack Developer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['SAP', 'Solution Integration', 'Apex', 'Salesforce']",Bhopal,careers@stanratechsolutions.com
Clario,"['Role: Search Engineer', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['NUnit', 'github', 'Front end', 'Web technologies', 'RDBMS', 'Postgresql', 'data integrity', 'Test cases', 'Unit testing', 'SQL']",Remote,careers@clario.com
HCLTech,"['Role: Technical Lead', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate']","['Jenkins', 'Devops']","Bhopal, Nagpur, Pune",careers@hcltech.com
Techdome Solutions,"['Role: Automation Test Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Maven', 'Automation', 'Load testing', 'Testing tools', 'Functional testing', 'Selenium', 'JIRA', 'SQL', 'Python']","Indore, Hyderabad",careers@techdomesolutions.com
Ione It Solutions,"['Role: IT Infrastructure Services - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Infrastructure Services', 'PG: MBA/PGDM in Any Specialization, M.Tech in Any Specialization']","['PMP', 'Agile', 'IT Project Management']",Indore,careers@ioneitsolutions.com
Hvantage,"['Role: Front End Developer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Sc in Computers, B.Tech/B.E. in Information Science, Information Technology, Computer Science, Computers, BCA in Any Specialization']","['CSS', 'Javascript', 'React.Js', 'Microservices', 'HTML']",Indore,careers@hvantage.com
Kanerika Software,"['Role: DevOps Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: DevOps', 'UG: B.Tech/B.E. in Any Specialization', 'PG: MCA in Any Specialization, M.Tech in Any Specialization']","['Jenkins', 'Docker', 'AWS', 'Azure', 'Ansible', 'Scripting Languages']",Indore,careers@kanerikasoftware.com
Artemis Health,"['Role: Practice Manager / Head', 'Industry Type: Medical Services / Hospital', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Process automation', 'Automation', 'Team management', 'Process improvement', 'Disaster recovery', 'Technical leadership', 'Healthcare', 'Operations', 'Service quality', 'Monitoring']",Remote,careers@artemishealth.com
Chapter247 Infotech,"['Role: Full Stack Developer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Team Leading', 'Node.Js', 'MongoDB', 'AWS']",Indore( Nipania ),careers@chapter247infotech.com
Systango,"['Role: Technical Architect', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'Automation', 'Product engineering', 'Postgresql', 'Django', 'MySQL', 'Machine learning', 'System design', 'Distribution system', 'Python']",Indore,careers@systango.com
SmarTek21,"['Role: DevOps Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: DevOps', 'UG: Any Graduate', 'PG: Any Postgraduate']","['remediation', 'PCI DSS', 'Automation', 'ISO 27001', 'Cloud', 'Vulnerability', 'Open source', 'Monitoring', 'Python', 'Penetration testing']",Remote,careers@smartek21.com
Akamai,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Backend', 'orchestration', 'Architecture', 'Internet security', 'Network security', 'HTML', 'Product support', 'Python', 'CSS3']",Remote,careers@akamai.com
Sterling Talent,"['Role: Head - Engineering', 'Industry Type: Management Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'Performance tuning', 'Software design', 'Coding', 'Enterprise applications', 'GCP', 'Resource allocation', 'Agile', 'Application security', 'SDLC']",Remote,careers@sterlingtalent.com
Infogrowth,"['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: Any Graduate']","['Client Coordination', 'Salesforce', 'CSS', 'HTML', 'Client Interaction', 'Client Management', 'International Clients', 'Consulting', 'Client Engagement', 'CRM']","Indore, Pune, Bengaluru",careers@infogrowth.com
Sand Technologies,"['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Cisa', 'Access management', 'Analytical', 'Risk assessment', 'ISO 27001', 'IT risk management', 'Healthcare', 'Video conferencing', 'Scheduling', 'Vulnerability management']",Remote,careers@sandtechnologies.com
Clarion Technologies,"['Role: Cloud System Administration', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Infrastructure Services', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Automation', 'Networking', 'Infrastructure management', 'Powershell', 'Disaster recovery', 'Active directory', 'Windows', 'RFP', 'Python', 'Technical documentation']",Remote,careers@clariontechnologies.com
World Courier,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: Medical Devices & Equipment', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['ERP', 'Automation', 'SAP', 'Linux', 'Networking', 'Db2', 'JBoss', 'Windows', 'CRM', 'Python']",Remote,careers@worldcourier.com
GTS Telecom Services,"['Role: IT Support - Other', 'Industry Type: Telecom / ISP', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: B.Tech/B.E. in Electronics/Telecommunication, Information Technology, Computers']","['PowerShell', 'Devops', 'IAM', 'Docker', 'Python']",Bhopal,careers@gtstelecomservices.com
Modernlogic Solutions,"['Role: Associate / Consultant', 'Industry Type: IT Services & Consulting', 'Department: Consulting', 'Employment Type: Full Time, Permanent', 'Role Category: Management Consulting', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Unix', 'Computer science', 'Redhat Linux', 'Networking', 'Consulting', 'Disaster recovery', 'Support services', 'Windows', 'System administration', 'Windows System Administration']",Remote,careers@modernlogicsolutions.com
Amazon,"['Role: Solution Architect', 'Industry Type: Internet', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['SAP', 'Network design', 'Production support', 'Architecture', 'EDI', 'IT management', 'Oracle', 'Operations', 'Ariba']",Remote,careers@amazon.com
Scientech Technologies,"['Role: Post Silicon Test Engineer', 'Industry Type: Electronic Components / Semiconductors', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['C++', 'VB.NET', 'Linux', 'MySQL', 'CAD', 'IT skills', 'PHP', 'HTML', 'Resource planning', 'Python']",Indore,careers@scientechtechnologies.com
Veza Technologies,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'metadata', 'Backend', 'NoSQL', 'orchestration', 'Access management', 'Debugging', 'Distribution system', 'Monitoring', 'SQL']",Remote,careers@vezatechnologies.com
LaunchPD,"['Role: Post Silicon Test Engineer', 'Industry Type: Architecture / Interior Design', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['C++', 'Software design', 'Linux', 'Javascript', 'Packaging', 'Software Engineer', 'Firmware', 'Open source', 'Python']",Remote,careers@launchpd.com
Emperen Technologies,"['Role: Automation Test Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['Java', 'JUnit', 'Mobile Testing', 'TestNG', 'Automation Testing', 'Appium', 'Selenium', 'Testing']",Indore,careers@emperentechnologies.com
Mindteck,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Performance tuning', 'C++', 'Automation', 'Software design', 'Coding', 'Data structures', 'Windows', 'Visual Studio', 'Unit testing', 'Python']",Remote,careers@mindteck.com
Infobyd Software Solutions,"['Role: Automation Test Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['IT services', 'QA', 'Software testing', 'Backend', 'Test strategy', 'Quality engineering', 'Software development life cycle', 'Test planning', 'ui automation', 'Selenium']",Indore,careers@infobydsoftwaresolutions.com
Benovymed Healthcare Private Limited,"['Role: Engineering Manager', 'Industry Type: Medical Services / Hospital', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['Java', 'Appium', 'Robotium', 'MySQL', 'PHP', '.Net', 'MongoDB', 'Selenium', 'Oracle', 'AWS', 'Ruby', 'Python']",Indore,careers@benovymedhealthcareprivatelimited.com
Yodo1 Games,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: Gaming', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: LLM in Law']","['Data validation', 'Debugging', 'Data collection', 'Data processing', 'Selenium', 'Troubleshooting', 'Gaming', 'IPS', 'Distribution system', 'Python']",Remote,careers@yodo1games.com
Twilio,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: Internet', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Data analysis', 'Operations Manager', 'Networking', 'SMS', 'Healthcare', 'VAS', 'Customer service', 'Troubleshooting', 'Monitoring', 'SQL']",Remote,careers@twilio.com
Alphapoint,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: Financial Services', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'LMS', 'neo4j', 'GCP', 'Artificial Intelligence', 'Machine learning', 'query', 'Programming', 'Continuous improvement', 'Python']",Remote,careers@alphapoint.com
INFOCRATS Web Solutions,"['Role: QA Team Manager', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate']","['Mobile Application Testing', 'Team Handling', 'ERP', 'Manual Testing', 'SDLC', 'Leadership Skills', 'Agile Methodology', 'Performance Testing', 'Project Management', 'API Testing', 'Integration Testing', 'Automation Testing', 'Team Leading', 'Scrum', 'Selenium']",Indore,careers@infocratswebsolutions.com
Pursuit Software Development,"['Role: Performance Testing Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate']","['JMeter', 'Performance Testing', 'Load Runner', 'Load Testing']","Kolkata, Shillong, Indore",careers@pursuitsoftwaredevelopment.com
People10,"['Role: Test Analyst', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Test case execution', 'Test strategy', 'Test management', 'Agile', 'Test planning', 'Technology solutions', 'Stakeholder management', 'JIRA', 'digital transformation']",Remote,careers@people10.com
Nagarro,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'Postgresql', 'Django', 'Application development', 'Application security', 'High level design', 'JIRA', 'Information technology', 'Python', 'Technical documentation']",Remote,careers@nagarro.com
"Godaddy Operating Company, Llc","['Role: Test Analyst', 'Industry Type: Film / Music / Entertainment', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Performance tuning', 'Automation', 'Data analysis', 'Cisa', 'Data modeling', 'microsoft', 'Monitoring', 'SQL', 'Python', 'Auditing']",Remote,"careers@godaddyoperatingcompany,llc.com"
Geoconsultants India Services,"['Role: Full Stack Developer', 'Industry Type: Management Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Network analysis', 'Programming', 'Database administration', 'Arcgis desktop', 'GIS software', 'SDK', 'Licensing', 'Workflow analysis', 'Python']",Remote,careers@geoconsultantsindiaservices.com
Thermo Fisher Scientific India,"['Role: Software Development - Other', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'Performance management', 'GCP', 'Process improvement', 'Clinical trials', 'Programming', 'SAS Programming', 'Management', 'Bioinformatics', 'clinical data']",Remote,careers@thermofisherscientificindia.com
Taskus,"['Role: Assistant Manager', 'Industry Type: BPM / BPO', 'Department: Customer Success, Service & Operations', 'Employment Type: Full Time, Permanent', 'Role Category: Operations', 'UG: Any Graduate', 'PG: Any Postgraduate']","['accounts receivable', 'erlang', 'billing', 'workforce planning', 'tally', 'css', 'python', 'c++', 'software development', 'elixir', 'supply', 'javascript', 'jquery', 'sql', 'node.js', 'java', 'git', 'capacity planning', 'linux', 'html', 'mysql', 'data structures', 'shell scripting', 'mongodb']",Indore,careers@taskus.com
Oak Tree Cloud Software,"['Role: Software Development - Other', 'Industry Type: Miscellaneous', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate']","['Team Coordination', 'Project Documentation', 'Project Coordination']",Indore,careers@oaktreecloudsoftware.com
Bluesoft Software Solution,"['Role: Software Development - Other', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Supply chain', 'Backend', 'Data management', 'Artificial Intelligence', 'Consulting', 'System integration', 'Telecommunication', 'Financial services', 'Logistics']",Remote,careers@bluesoftsoftwaresolution.com
